YEAR,VALUE_OF_MONEY
1958,100.00
1959,105.15
1960,109.60
1961,109.60
1962,113.11
1963,115.93
1964,123.89
1965,144.96
1966,152.93
1967,174.24
1968,189.23
1969,185.01
1970,191.57
1971,201.17
1972,211.01
1973,227.17
1974,281.26
1975,352.69
1976,330.91
1977,330.91
1978,356.91
1979,362.30
1980,404.68
1981,441.45
1982,497.66
1983,537.70
1984,604.68
1985,636.07
1986,681.50
1987,744.26
1988,813.58
1989,885.07
1990,933.05
1991,1061.01
1992,1199.64
1993,1295.61
1994,1407.57
1995,1540.87
1996,1690.16
1997,1866.10
1998,1983.40
1999,2287.31
2000,2297.97
2001,2377.95
2002,2500.58
2003,2580.55
2004,2676.53
2005,2777.83
2006,2932.45
2007,3123.90
2008,3296.08
2009,3615.85
2010,4157.00
2011,4550.56
2012,4845.73
2013,5386.88
2014,5878.83
2015,6223.20
2016,6616.76
2017,6764.34
2018,7034.92
2019,7403.89
